,cleaned
623,kasar
624,kasihan
625,kata kasar
626,katastropi
627,ada acuh tak acuh
628,ada buruk
629,ada darurat
630,ada pingsan
631,ada sulit
634,kebal
639,betul
653,keburu
657,capai
659,celaka kapal
663,cenderung untuk turun
667,congkak
680,gemuk
689,hilang imbang
691,ingin pribadi
696,kejang
701,jengah
703,keji
708,kekanak-kanakan
714,kenyang
720,khilaf
721,kosong
723,kekuatiran
725,kekurangpekaan
726,laku buruk
730,langka
731,lapar
732,kelas dua
735,lemah karena usia tua
736,lembut
744,macet
749,masuk setan
750,masyhur
752,kembali
753,melarat
754,dua
762,kendor
763,kendur
765,kental
767,kepala batu
768,kepala-sakit
770,pedar
771,pendek
772,penting
775,keputusasaan
776,keputusasan
779,kerangka
781,keras hati
782,keras kepala
783,keras-kapal
786,kere
787,kerepot
790,riang
792,rindu
794,keriput
796,kerlip
797,keroncong
803,ruwet
806,salah besar
808,kesalahpahaman
809,sama
816,sengsara
817,sepi
820,sesak
825,syahid
826,tabah
827,ketakberanian
830,ketat
832,tenang
837,tiada rasa hormat
838,ketidakabsahan
839,ketidakadilan
840,ketidakakuratan
841,ketidakamanan
842,ketidakbahagiaan
843,ketidakberdayaan
844,ketidakbijaksanaan
845,ketidakcakapan
846,ketidakcocokan
847,ketidakcukupan
848,ketidakefektifan
849,ketidakefisienan
850,ketidakjelasan
851,ketidakjujuran
852,ketidakkasihan
853,ketidaklogisan
854,ketidakmampuan
855,ketidakmampuan sesuai diri
856,ketidakmungkinan
857,ketidakmurnian
858,ketidakpantasan
859,ketidakpedulian
860,ketidakpercayaan
861,ketidakpuasan
862,ketidakrelevanan
863,ketidaksabaran
864,ketidaksamaan
865,ketidakseimbangan
866,ketidaksempurnaan
867,ketidaksenangan
868,ketidaksenonohan
869,ketidaksetaraan
870,ketidaksetiaan
871,ketidaksopanan
872,ketidakstabilan
873,ketidaktahuan
876,ketidakteraturan
877,ketidaktertarikan
878,ketidaktoleranan
879,ketidaktulusan
881,ketu
882,ketus
883,wajib
884,kewalahan
885,zalim
888,khayal belaka
889,khayali
891,khusus
892,kiamat
893,kikir
894,kikuk
895,kios
896,kisi
897,klik
898,klise
899,knalpot
900,kolot
901,kompatibel
902,kompleks
903,komplikasi
904,komplot
905,kompong
907,konfrontasi
908,kongkalikong
909,konservatif
910,konsesi
911,konspirasi
912,konspiratif
913,konspirator
914,kontaminasi
915,kontensius
916,kontol
917,kontra
918,kontra-produktif
919,kontradiksi
920,kontradiktif
921,kontraproduktif
922,kontroversi
923,kontroversial
924,konyol
926,korban celaka
927,korosi
928,korosif
929,korup
930,korupsi
933,kram
934,krisis
936,kritikus
937,kritis
938,kronis
939,kuat
940,kuatir
941,kucam
942,kucing gemuk
943,kudung
944,kukuh
945,kuning
946,kuno
947,kupas
949,kurang ajar
950,kurang baik
951,kurang kembang
952,kurang untung
953,kurang kenal
954,kurang lengkap
955,kurang tarik
956,kurang alam
957,kurang sehat
958,kurang sopan
959,kurus
960,kusut
961,kutu
962,labil
963,labu
966,lalim
967,lama
972,lapis dua
973,lapuk
975,larut
976,latency
978,lebam
979,lebih buruk
980,lebih keras
981,lebih mahal
983,lecet
985,lekat
986,lekir
987,lekuk
989,lelucon
992,lemak-kucing
993,lemas
994,lembab
995,lembek
996,lot
997,lendir
998,lengkap
999,lengket
1001,lereng
1004,letus
1005,liar
1006,licik
1007,licin
1008,lier
1009,limbah
1010,limbung
1012,lintah
1013,lirik
1014,longgar
1015,luah
1016,luar biasa
1017,lubang angin
1018,lucu
1020,luka bakar
1021,luka lecet
1026,lusuh
1029,mabuk kepayang
1030,mafia
1031,mahal
1032,main mata
1033,main perempuan
1034,main kerincing
1035,maki
1036,makin
1038,malapetaka
1042,mampat
1044,manipulasi
1045,manipulatif
1046,manipulator
1050,marginal
1052,masam
1054,mati lapar
1055,mati lemas
1056,mati rasa
1058,mau tobat
1059,megah
1060,megap-megap
1063,lampias
1067,langgar susila
1069,lari diri
1070,lawan hukum
1071,melayu
1077,lenceng
1080,lengkung
1083,lepuh
1084,meleset
1085,meletakkan-off
1087,limpah
1089,melodramatis
1090,longo
1091,longsor
1092,lucut senjata
1094,luluh
1097,luruh
1099,madam
1100,makan waktu
1105,pamer
1107,pancing
1108,pandang dengan marah
1109,pandang rendah
1111,memar
1114,marut
1115,patah semangat
1117,bagi
1118,bahas
1126,bara
1130,bayar lebih
1135,belit
1140,berontak
1144,boikot
1145,boikot dr masyarakat
1146,bolos
1147,bombardir
1151,buang waktu
1153,buat sedih hati
1154,buat bingung
1155,buat kasar
1156,buat malu
1157,bubuh gula
1165,pecat
1166,pekak telinga
1170,cik
1171,perintah
1173,pihak
1174,mikat
1186,siap
1187,pesona
1188,polemik
1193,muak
1194,muas diri
1195,pudar
1197,pukul dengan tongkat
1198,pukul mundur
1202,putar
1203,memutarbalikkan
1205,tabrak
1210,tanam
1211,menang
1212,tarik diri
1213,tarik kembali
1214,tarik perhati
1215,taruh simpati
1216,nasihat
1217,cabut
1218,cabut lindung hukum
1220,cair
1221,mencampuradukkan
1222,campur
1223,cap
1224,cekik
1226,cari
1229,cibir
1230,cicit
1231,cium
1232,ciut
1233,mencla-mencle
1234,colok
1235,copot
1236,cubit
1237,cuci otak
1240,dadak
1241,dakwa
1244,deklamasi
1246,derita khayal
1247,derita sekali
1248,desak
1250,didih
1252,duduk
1256,tel
1258,tertawa
1259,tetes
1261,abur
1269,ambil alih
1270,amputasi
1273,ancam jiwa
1274,angkat bahu
1276,kata
1281,kecil hati
1282,ejan
1284,mengejuntukan
1288,keluar isi perut
1290,kelupas
1291,embara
1293,endap
1295,erang
1298,keri
1300,kerja dengan kurang baik
1305,gampang
1307,ganggu tenang
1308,ganti
1310,garuk
1311,garut
1312,gasak
1314,gelegar
1315,gelepar
1316,menggeliat-geliut
1317,geli
1320,gentar
1323,gerenyet
1324,gerogot
1325,gertak
1328,gigit
1330,giling
1333,gugat
1334,gugur
1335,guling
1337,hadap
1339,halau
1342,hantu
1354,hukum belum periksa
1356,kikis
1359,injak
1360,intai
1362,intip
1363,isap
1368,oles
1369,olok
1374,oyak
1376,kuasa
1378,umum kurang
1380,untung
1382,uras
1383,usir
1387,tidur
1388,timbul
1389,timbul benci
1390,timpa
1393,tinggal dunia
1395,tingkat
1398,menit
1399,jadi kaya
1400,jadi terlalu panas
1404,jauh diri
1406,jemu
1411,jiplak tulis
1413,tohok
1415,tonjol
1416,mentah
1419,tumpah
1423,tuntut
1426,turun nilai
1428,tutup jalan
1432,nyala
1433,menyalahgunakan
1436,sangsi
1437,sapa
1439,sayat
1440,sayat hati
1441,sebal
1444,selinap
1446,senang
1447,sengat
1449,serah
1454,sali
1457,sesat pikir
1458,sia nyiakan
1459,siang
1460,sihir
1466,sita pikir
1467,solok
1470,sumpah
1473,susut
1476,rajalela
1477,rajuk
1479,merana
1480,rancang
1482,rasa jijik
1483,rata
1486,raup
1487,rayap
1489,remas
1493,rendah martabat
1494,rengek
1495,renung
1496,repet
1498,retas
1499,merinding
1500,mering
1501,robek
1502,rokok
1503,rongrong
1507,rusak akhlak
1508,rusak bentuk
1510,mewah
1511,yakin
1512,mimpi buruk
1513,miring
1514,misinformasi
1516,misteri
1517,misterius
1518,mitos
1519,momok
1520,mubazir
1521,mudah haru
1522,mudah singgung
1523,mudah tipu
1524,multi-polarisasi
1527,mungil
1528,mungkin
1529,mungkir
1532,muntah benci
1537,murtad
1539,muslihat
1542,nafsu berahi
1543,nafsu perang
1544,naif
1545,najis
1546,nakal
1547,ndeso
1548,negatif
1550,nenek
1551,nepotisme
1552,neraka
1553,neurotik
1554,ngambek
1555,ngawur
1556,ngelantur
1557,ngeri
1558,ngobrol
1559,ngomel
1562,non-aktif
1563,non-keyakinan
1564,nyaring
1565,nyengir
1566,nyeri
1567,nyinyir
1568,nyonya
1569,obat bius
1571,obsesif
1572,obyek
1574,ogah
1576,omong kosong
1577,oportunistik
1578,oposisi
1579,orak
1580,orang asing
1581,orang bodoh
1582,orang buang
1583,orang canggung
1584,orang celaka
1585,orang dungu
1586,orang fanatik
1587,orang gila
1588,orang ingkar
1589,orang kikir
1590,orang luar
1591,orang benci
1592,orang miskin
1593,otokrat
1594,otokratis
1595,otoriter
1596,overakting
1597,padat
1598,pagar
1601,paling aneh
1602,paling kejam
1603,paling lambat
1604,paling takut
1607,panci
1608,pandang marah
1609,pandang yg hina
1610,panggil
1611,panggil dari adil
1612,panik
1613,panjang
1614,paradoks
1615,paradoksal
1617,paranoia
1618,paranoid
1619,parasit
1620,paria
1621,parno
1622,parodi
1623,partisan
1624,pasif
1625,pasrah
1626,pasti
1628,patah hati
1629,patuh
1630,patung
1631,payudara
1635,cundang
1636,pedas
1637,pedih
1638,kerja buruk
1639,kerja rumah
1640,labuh
1642,laku
1644,pelan
1649,lawak
1651,lepas nafsu berahi
1652,pelit
1665,baur
1671,ronta
1679,bubar
1680,buka lagu
1683,bunuh besar
1685,megat
1692,potong
1695,pemutarbalikan
1696,takluk
1698,penalti
1699,tangkap
1700,cegah
1704,dapat
1708,derita dalam
1713,adu
1716,anggur
1719,pengap
1722,kecuali
1723,kecut
1738,iring jenazah
1754,penjara gelap bawah tanah
1757,penuh
1758,penuh benci
1759,penuh cela
1760,penuh curiga
1761,penuh dosa
1762,penuh sesal
1763,tumpas
1766,turut
1767,sadap
1769,sakit gila
1770,penyalahgunaan
1772,sederhana lebih
1773,seleweng
1777,sergap
1784,sisih
1785,penyok
1786,suap
1788,peot
1789,adang
1793,asa geli
1794,asa waswas
1795,perawan tua
1796,beda dapat
1801,perempuan jahanam
1802,perfidity
1803,pergola
1804,perhati
1805,perih sekali
1808,kelahi
1809,laku kejam
1811,perlu
1815,sahabat
1818,tempur
1820,tengkar sengit
1822,tikai
1823,tumpah darah
1824,tunjuk
1825,ubah
1826,usak
1827,pesimis
1828,pesimisme
1829,pesimistis
1830,pesta
1831,pesta besar
1832,suruh
1833,tualang
1834,phk
1836,picketed
1837,pidana
1838,piket
1839,pikun
1841,pimpin salah
1842,pincang
1843,pingsan
1845,pisau
1846,piuh
1847,plin-plan
1848,polusi
1849,prasangka
1850,pratfall
1852,primitif
1856,provokatif
1857,puas
1858,pucat
1860,punah
1861,punk
1863,pusing
1869,radikalisasi
1872,rajin
1873,raksasa
1874,ramai
1875,rambut rontok
1877,rantingly
1878,rants
1879,rapuh
1880,rasa salah
1881,rasa cemas
1882,rasa gelisah
1883,rasa sakit
1884,rasa suram
1885,rasa tidak berterimakasih
1886,rasa tidak enak
1887,ras
1888,rasisme
1889,reaksioner
1890,realistis
1891,rebus
1892,redundansi
1893,redup
1894,relevan
1900,rendah nilai
1902,rentan
1903,represi
1904,represif
1907,resesi
1908,retak
1909,retorik
1910,retoris
1911,rewel
1912,reyot
1913,ribet
1915,rintik
1918,roboh
1919,rongsok
1920,ruam
1921,rumah kaca
1922,rumit
1923,rumor
1927,sabar
1928,sabotase
1930,sakit rancang
1931,sakit hati
1932,sakit kepala
1933,sakit punggung
1934,sakit saraf
1935,sakit-dibentuk
1936,sakit-didefinisikan
1937,sakit-digunakan
1938,sakit-dipahami
1939,sakit-penggunaan
1941,sakit tuh sini
1946,salah informasi
1948,salah tafsir
1949,salah erti
1950,salah ucap
1951,salah urus
1952,salah nilai
1953,salah sebut
1954,salah paham
1955,salah pikir
1956,salah saji
1957,salju longsor
1958,salur air
1959,sama sekali
1962,sambil
1963,sampah
1964,sandal bakiak
1965,sandera
1966,sangat
1967,sangat efektif
1968,sangat jahat
1969,sangat lapar
1970,sangat marah
1971,sangat takjub
1972,sangat sedikit
1973,sanggah
1974,sarkasme
1975,sarkastik
1976,saru
1977,satir
1978,satiris
1980,belum waktu
1981,sedang saja
1984,sedikit
1987,sejajar
1988,selai
1990,selendang
1991,seling
1992,selokan
1993,sembarang
1995,sembur
1996,sementara
1997,sempit
1998,semrawut
2001,sensasi
2002,sensasional
2003,sensasionil
2004,senta
2005,pakan
2006,sepele
2009,serampang
2012,serang gencar
2015,serong
2017,setan
2018,tengah hati
2019,setia
2020,wenang
2021,shamefulness
2022,shamelessness
2023,sia
2026,sikap
2029,sindroma
2030,singkat
2031,sinis
2032,sinisme
2033,sinting
2034,siput
2035,sirep
2036,sisa
2037,sisi bawah
2038,sisi buta
2039,siuman
2040,skandal
2041,skeptis
2042,sobek
2043,sok
2044,sok nasehat
2045,sok ngatur
2047,sporadis
2048,stagnasi
2049,statis
2050,steal
2051,stereotip
2052,stres
2053,suam
2054,suar
2055,subversif
2056,suka pandang rendah
2058,sumbang
2059,sundal
2062,syok
2063,tabir asap
2064,tabu
2065,tahayul
2066,tahi
2067,tai
2068,tajam
2069,taji
2070,tak ada arti
2071,tak bahagia
2072,tak baik
2073,tak arti
2074,tak daya
2075,tak gairah
2076,tak guna
2077,tak iman
2078,tak mutu
2079,tak nyawa
2080,tak rasa
2081,tak perikemanusiaan
2082,tak pindah
2083,tak sedia
2084,tak biasa
2085,tak harga
2086,tak henti
2087,tak hormat
2088,tak jelas
2089,tak lihat
2090,tak kenal ampun
2091,tak kompeten
2092,tak layak
2094,tak pernah puas
2095,tak populer
2096,tak putus
2097,tak sehat
2098,tak sepakat
2099,tak tuju
2100,tak tahu malu
2102,tak bayang
2103,tak beda
2104,tak damai
2105,tak duga
2106,tak elak
2107,tak hindar
2108,tak hitung
2109,tak kata
2110,tak kendali
2111,tak pecah
2112,tak penuh
2113,tak tahan
2114,takhyul
2118,tandus
2119,tangki
2120,tanpa
2121,tanpa alas
2122,tanpa ampun
2123,tanpa belas kasihan
2124,tanpa pikir
2125,tanpa cinta
2126,tanpa dasar
2127,tanpa tahu
2128,tanpa hasil
2129,tanpa henti
2130,tanpa hukum
2131,tanpa iman
2132,tanpa kompromi
2133,tanpa malu
2134,tanpa pandang bulu
2135,tanpa rebewes
2136,tanpa sadar
2137,tanpa semangat
2138,tanpa tuju
2139,tantang
2140,tawan
2141,tawar
2142,tebal
2144,tegar
2147,telanjang
2148,teliti
2155,terampil
2156,terang
2158,asa tidak enak
2161,banding
2164,bayang
2169,bukti
2171,buru nafsu
2175,definisi
2179,fragmentasi
2182,genang
2183,gesa
2188,ria
2189,terik
2191,terinfestasi
2192,terjal
2193,terjang
2194,jangkau
2195,jawab
2199,kenal
2200,kenal jahat
2201,kesima
2202,kulai
2205,terlalu banyak
2206,terlalu berani
2207,terlalu semangat
2208,terlalu besar
2209,terlalu mahal
2210,terlalu tekan
2211,terlalu tinggi
2213,lantar
2219,teror
2220,terorirs
2221,terorisme
2222,pencil
2223,pengaruh
2225,peranjat
2227,sandung
2228,sangka
2229,sangkut
2230,sedak
2231,selesai
2232,selubung
2234,sembunyi dan bahaya
2235,sendat
2240,tagih
2242,tanam di hati
2243,tancap
2244,tanding
2245,tarik
2247,tempa
2250,urai
2251,tiba
2252,tidak
2253,tidak ada
2254,tidak ada reaksi
2255,tidak adil
2256,tidak akurat
2257,tidak aman
2258,tidak bagus
2259,tidak benar
2260,tidak alas
2262,tidak hasil
2263,tidak hati
2264,tidak lanjut
2265,tidak rasa
2266,tidak tanggung jawab
2267,tidak bijaksana
2268,tidak cakap
2269,tidak cukup
2270,tidak curiga
2271,tidak dapat andal
2272,tidak dapat guna
2273,tidak dapat tahan
2274,tidak dapat terima
2275,tidak butuh
2277,tidak ingin
2278,tidak tahu
2280,tidak efektif
2281,tidak efisien
2282,tidak etis
2283,tidak hormat
2284,tidak jelas
2285,tidak jujur
2286,tidak kompeten
2287,tidak kompetitif
2288,tidak konsisten
2289,tidak kreatif
2290,tidak kuat
2291,tidak layak
2292,tidak lazim
2293,tidak lengkap
2294,tidak logis
2295,tidak mampu
2296,tidak masuk akal
2297,tidak pada
2298,tidak patuh
2299,tidak bantu
2300,tidak milik
2301,tidak muas
2302,tidak tarik
2305,tidak senang
2308,tidak mungkin
2309,tidak nyaman
2310,tidak ortodoks
2311,tidak pantas
2312,tidak peduli
2313,tidak peka
2314,tidak penting
2315,tidak perlu
2316,tidak praktis
2317,tidak produktif
2318,tidak puas
2319,tidak ramah
2320,tidak rasional
2321,tidak resmi
2322,tidak sama
2323,tidak banding
2324,tidak imbang
2325,tidak sempurna
2327,tidak sopan
2329,tidak tahu terima kasih
2330,tidak tegas
2331,tidak tepat
2332,tidak baca
2333,tidak bukti
2334,tidak dengar
2335,tidak duga
2336,tidak kalah
2337,tidak sedia
2338,tidak tetap
2339,tidak tulus
2340,tidak wajar
2341,tikung
2342,tikus
2343,timbun
2344,timidness
2345,timpang
2346,tindak cegah
2347,tindak ekstrimis
2348,tindak rugi
2349,tindak yg bodoh
2350,tinggi harga-
2351,tinggi hati
2353,tipis
2355,tipu daya
2356,tipu muslihat
2357,tirani
2358,tolol
2359,topang
2360,totaliter
2361,tragedi
2362,tragis
2363,traped
2364,trauma
2365,traumatis
2368,tukang daging
2369,tukang fitnah
2370,tukang jual
2371,tukang onar
2372,tuli
2374,tumpul
2375,tuna karya
2380,ugal-ugalan
2381,ulang
2382,ular bisa
2383,ultimatum
2384,ultra-garis keras
2385,umpan
2387,untuk sementara
2388,usang
2389,usil
2390,utuh
2391,vagina
2392,virus
2393,volatil
2394,vulgar
2395,wabah
2396,waria
2397,was-was
2398,waspada
2399,wastafel
2400,ya silah saja
2401,yahudi
